champion,Matchup,Performance avg,Performance std,role,games,Matchup Role
Aatrox,Poppy,-2.695621630270521,94.63636991895997,TOP_LANE,57,TOP_LANE
Aatrox,Renekton,-1.441564418725406,100.73705455991156,TOP_LANE,462,TOP_LANE
Aatrox,Riven,-26.067271335727742,93.56275316848459,TOP_LANE,18,TOP_LANE
Aatrox,Rumble,-14.784522683255338,94.65080415458954,TOP_LANE,53,TOP_LANE
Aatrox,Ryze,-12.311166052299246,102.4015993076867,TOP_LANE,22,TOP_LANE
Aatrox,Sejuani,15.977958265042416,112.56795334285897,TOP_LANE,84,TOP_LANE
Aatrox,Sett,-5.962256554932415,97.28711652176429,TOP_LANE,211,TOP_LANE
Aatrox,Shen,34.644164251905416,104.87586164239062,TOP_LANE,33,TOP_LANE
Aatrox,Shyvana,-34.55811002508368,103.01872990013591,TOP_LANE,13,TOP_LANE
Aatrox,Sion,28.842821153179585,103.99690976842427,TOP_LANE,175,TOP_LANE
Aatrox,Soraka,-14.588921617519373,88.62033394783585,TOP_LANE,8,TOP_LANE
Aatrox,Swain,37.764587968639695,105.78134506765392,TOP_LANE,6,TOP_LANE
Aatrox,Sylas,-18.32839173946256,76.57252346228202,TOP_LANE,17,TOP_LANE
Aatrox,TahmKench,-8.541981589693052,112.03187226888298,TOP_LANE,21,TOP_LANE
Aatrox,Tristana,-2.0331178802674135,72.37616264797776,TOP_LANE,9,TOP_LANE
Aatrox,Tryndamere,-14.656556116010854,117.03354049900267,TOP_LANE,18,TOP_LANE
Aatrox,Urgot,-1.613452220634471,98.79688456475836,TOP_LANE,162,TOP_LANE
Aatrox,Viktor,-23.461909860532238,80.59977965859676,TOP_LANE,10,TOP_LANE
Aatrox,Vladimir,33.45336167380928,93.16608460449292,TOP_LANE,46,TOP_LANE
Aatrox,Volibear,-15.724732933867768,85.66467416906605,TOP_LANE,28,TOP_LANE
Aatrox,Yasuo,71.34036367659287,109.77035480245934,TOP_LANE,6,TOP_LANE
Aatrox,Yone,-12.183768109481033,93.6634640886051,TOP_LANE,17,TOP_LANE
Aatrox,Yorick,-30.189069384404032,94.98676288123086,TOP_LANE,11,TOP_LANE
Ahri,Aatrox,-14.144712998067982,102.60765753304375,MID_LANE,149,TOP_LANE
Ahri,Akali,-18.831201560747807,98.93518412758883,MID_LANE,80,TOP_LANE
Ahri,Akshan,-27.291376816152063,92.90072133226222,MID_LANE,10,TOP_LANE
Ahri,Camille,-8.555849837426585,92.52784040968479,MID_LANE,192,TOP_LANE
Ahri,Chogath,-54.95970110922929,83.16633798188606,MID_LANE,19,TOP_LANE
Ahri,Darius,-12.362494868767753,96.09183991573309,MID_LANE,22,TOP_LANE
Ahri,DrMundo,-17.71091434298775,99.24578883515014,MID_LANE,15,TOP_LANE
Ahri,Fiora,1.6147123038912128,92.97341084419001,MID_LANE,116,TOP_LANE
Ahri,Fizz,-3.461496578626653,84.52100418146206,MID_LANE,15,TOP_LANE
Ahri,Galio,43.838545176924356,94.84760420376121,MID_LANE,8,TOP_LANE
Ahri,Gangplank,-19.917050291777954,95.94399976312155,MID_LANE,183,TOP_LANE
Ahri,Gnar,5.21215205231537,98.7868537138885,MID_LANE,536,TOP_LANE
Ahri,Gragas,4.8053950643194945,112.43965213620099,MID_LANE,147,TOP_LANE
Ahri,Graves,15.00622399279301,101.77475308169012,MID_LANE,111,TOP_LANE
Ahri,Gwen,4.059818947853089,99.14862529742413,MID_LANE,300,TOP_LANE
Ahri,Hecarim,35.55066143640938,107.21810525939897,MID_LANE,8,TOP_LANE
Ahri,Irelia,-14.177929574480169,105.30811144705386,MID_LANE,60,TOP_LANE
Ahri,JarvanIV,-42.64475968467857,81.37581867301417,MID_LANE,11,TOP_LANE
Ahri,Jax,-0.44705049037200667,96.94599048394645,MID_LANE,160,TOP_LANE
Ahri,Jayce,-0.6328620486418559,91.73402823967545,MID_LANE,160,TOP_LANE
Ahri,Karma,23.383090595364532,123.84939625993428,MID_LANE,11,TOP_LANE
Ahri,Kayle,0.020080588179830272,92.84014896054865,MID_LANE,38,TOP_LANE
Ahri,Kennen,-19.036094211999117,103.27635970984088,MID_LANE,116,TOP_LANE
Ahri,Kled,5.937089286640849,82.7302792694991,MID_LANE,13,TOP_LANE
Ahri,KSante,20.410385860002364,96.63941556763743,MID_LANE,92,TOP_LANE
Ahri,LeeSin,-42.91317659796014,63.49789768006634,MID_LANE,10,TOP_LANE
Ahri,Lillia,1.8005169168069637,76.60189780807256,MID_LANE,8,TOP_LANE
