,id,rel_rate,games,winrate,name,role,patch
61,Singed-TOP_LANE-4.14,45.74813139283241,2,0.5,Singed,TOP_LANE,4.14
62,Varus-BOT_LANE-4.14,-1000.0,1,0.0,Varus,BOT_LANE,4.14
63,Akali-TOP_LANE-4.14,-1000.0,1,1.0,Akali,TOP_LANE,4.14
64,Galio-TOP_LANE-4.14,-1000.0,1,0.0,Galio,TOP_LANE,4.14
65,FiddleSticks-JUNGLE-4.14,-1000.0,1,1.0,FiddleSticks,JUNGLE,4.14
66,Chogath-MID_LANE-5.7,-6.956367998552023,4,0.25,Chogath,MID_LANE,5.7
67,Gnar-TOP_LANE-5.7,-3.3278168609683094,24,0.4166666666666667,Gnar,TOP_LANE,5.7
68,Leblanc-MID_LANE-5.7,24.88719500801689,9,0.6666666666666666,Leblanc,MID_LANE,5.7
69,Cassiopeia-TOP_LANE-5.7,10.781297126093637,3,0.3333333333333333,Cassiopeia,TOP_LANE,5.7
70,Thresh-UTILITY-5.7,24.458709144323137,28,0.6071428571428571,Thresh,UTILITY,5.7
71,Gragas-JUNGLE-5.7,1.8007182955424792,26,0.5384615384615384,Gragas,JUNGLE,5.7
72,RekSai-JUNGLE-5.7,46.57735542212117,24,0.6666666666666666,RekSai,JUNGLE,5.7
73,Urgot-BOT_LANE-5.7,-19.765931259417506,17,0.6470588235294118,Urgot,BOT_LANE,5.7
74,Sivir-BOT_LANE-5.7,-6.362082571165164,25,0.28,Sivir,BOT_LANE,5.7
75,Nautilus-UTILITY-5.7,9.619626010808934,18,0.3888888888888889,Nautilus,UTILITY,5.7
76,Lucian-BOT_LANE-5.7,-12.841485265123605,13,0.46153846153846156,Lucian,BOT_LANE,5.7
77,Janna-UTILITY-5.7,-35.24480735756697,6,0.3333333333333333,Janna,UTILITY,5.7
78,Lulu-MID_LANE-5.7,-60.78516791809131,10,0.3,Lulu,MID_LANE,5.7
79,Azir-MID_LANE-5.7,3.070951809827297,12,0.5833333333333334,Azir,MID_LANE,5.7
80,Rumble-TOP_LANE-5.7,-2.33965968838418,13,0.5384615384615384,Rumble,TOP_LANE,5.7
81,Sejuani-JUNGLE-5.7,-16.962849009906684,23,0.391304347826087,Sejuani,JUNGLE,5.7
82,Kalista-BOT_LANE-5.7,8.461064080641927,13,0.6923076923076923,Kalista,BOT_LANE,5.7
83,Hecarim-TOP_LANE-5.7,9.914351831157784,16,0.4375,Hecarim,TOP_LANE,5.7
84,Alistar-UTILITY-5.7,32.55907866841377,11,0.7272727272727273,Alistar,UTILITY,5.7
85,JarvanIV-JUNGLE-5.7,-1000.0,1,0.0,JarvanIV,JUNGLE,5.7
86,Cassiopeia-MID_LANE-5.7,18.418850909342712,16,0.6875,Cassiopeia,MID_LANE,5.7
87,Karthus-MID_LANE-5.7,-1000.0,1,0.0,Karthus,MID_LANE,5.7
88,Ziggs-MID_LANE-5.7,41.37588234427736,5,0.6,Ziggs,MID_LANE,5.7
89,Morgana-UTILITY-5.7,-2.412648559051027,12,0.3333333333333333,Morgana,UTILITY,5.7
90,Maokai-TOP_LANE-5.7,32.835659871877404,21,0.7142857142857143,Maokai,TOP_LANE,5.7
91,Vladimir-TOP_LANE-5.7,-1000.0,1,0.0,Vladimir,TOP_LANE,5.7
92,Fizz-MID_LANE-5.7,10.489231770813287,4,0.5,Fizz,MID_LANE,5.7
93,Tristana-BOT_LANE-5.7,-1000.0,1,0.0,Tristana,BOT_LANE,5.7
94,Vladimir-MID_LANE-5.7,49.745998707627,3,0.6666666666666666,Vladimir,MID_LANE,5.7
95,Annie-UTILITY-5.7,29.129728252205883,9,0.6666666666666666,Annie,UTILITY,5.7
96,Jinx-BOT_LANE-5.7,-4.075348318930852,12,0.5,Jinx,BOT_LANE,5.7
97,Diana-MID_LANE-5.7,-1000.0,2,0.0,Diana,MID_LANE,5.7
98,TwistedFate-MID_LANE-5.7,28.460285659747218,7,0.5714285714285714,TwistedFate,MID_LANE,5.7
99,Zed-MID_LANE-5.7,14.137875255345557,5,0.4,Zed,MID_LANE,5.7
100,Nunu-JUNGLE-5.7,-25.738146029535734,12,0.5,Nunu,JUNGLE,5.7
101,Urgot-MID_LANE-5.7,-1000.0,1,0.0,Urgot,MID_LANE,5.7
102,Sion-TOP_LANE-5.7,-1000.0,1,0.0,Sion,TOP_LANE,5.7
103,DrMundo-TOP_LANE-5.7,-1000.0,1,1.0,DrMundo,TOP_LANE,5.7
104,Bard-UTILITY-5.7,-1000.0,2,0.0,Bard,UTILITY,5.7
105,Corki-BOT_LANE-5.7,11.82456831615172,7,0.42857142857142855,Corki,BOT_LANE,5.7
106,Orianna-MID_LANE-5.7,-1000.0,2,0.0,Orianna,MID_LANE,5.7
107,Leona-UTILITY-5.7,-9.674783708045753,8,0.375,Leona,UTILITY,5.7
108,Ezreal-BOT_LANE-5.7,-1000.0,2,1.0,Ezreal,BOT_LANE,5.7
109,Kassadin-MID_LANE-5.7,-1000.0,2,1.0,Kassadin,MID_LANE,5.7
110,Evelynn-JUNGLE-5.7,-1000.0,1,1.0,Evelynn,JUNGLE,5.7
111,Morgana-MID_LANE-5.7,-1000.0,1,1.0,Morgana,MID_LANE,5.7
112,Ezreal-MID_LANE-5.7,-1000.0,1,1.0,Ezreal,MID_LANE,5.7
113,Ahri-MID_LANE-5.7,-30.75912744348993,5,0.2,Ahri,MID_LANE,5.7
114,Nautilus-JUNGLE-5.7,-1000.0,2,1.0,Nautilus,JUNGLE,5.7
115,Irelia-TOP_LANE-5.7,-4.968612370170556,5,0.2,Irelia,TOP_LANE,5.7
116,Azir-MID_LANE-5.18,31.302077324754976,14,0.7142857142857143,Azir,MID_LANE,5.18
117,Hecarim-TOP_LANE-5.18,41.775506767375866,4,0.5,Hecarim,TOP_LANE,5.18
118,Skarner-JUNGLE-5.18,15.50341335177122,3,0.3333333333333333,Skarner,JUNGLE,5.18
119,Ashe-BOT_LANE-5.18,1.1383348972398537,9,0.5555555555555556,Ashe,BOT_LANE,5.18
120,Thresh-UTILITY-5.18,-19.12308720942725,29,0.4482758620689655,Thresh,UTILITY,5.18
121,Elise-JUNGLE-5.18,21.253411710413044,39,0.6666666666666666,Elise,JUNGLE,5.18
122,Sivir-BOT_LANE-5.18,13.0078890536359,19,0.47368421052631576,Sivir,BOT_LANE,5.18
123,Viktor-MID_LANE-5.18,18.216598485897467,17,0.47058823529411764,Viktor,MID_LANE,5.18
124,Shen-UTILITY-5.18,39.665794891947776,11,0.8181818181818182,Shen,UTILITY,5.18
125,Riven-TOP_LANE-5.18,-5.044420309100038,10,0.5,Riven,TOP_LANE,5.18
126,Braum-UTILITY-5.18,-15.448682938675688,21,0.38095238095238093,Braum,UTILITY,5.18
